Image,True_Class,Box_Area,Size_Category
AngelFish_image_19_jpg.rf.b2fb60c85974a119a3f4aa9689ae8253.jpg,AngelFish,0.043271484375,normal
AngelFish_image_24_jpg.rf.4d626de198ca2da0fd6c2f89288f0364.jpg,AngelFish,0.474169921875,normal
AngelFish_image_264_jpg.rf.b3162c8b54fef25db2a88c7ae0d4817d.jpg,AngelFish,0.0237469482421875,normal
AngelFish_image_264_jpg.rf.b3162c8b54fef25db2a88c7ae0d4817d.jpg,AngelFish,0.019901123046875,normal
AngelFish_image_281_jpg.rf.c6400c999d2dfdf8f2918249def05f90.jpg,AngelFish,0.2215576171875,normal
AngelFish_image_290_jpg.rf.b38b7cf1284aa9fd6c1349690587149e.jpg,AngelFish,0.0542120361328125,normal
AngelFish_image_298_jpg.rf.7448c0c47bc9bd116b5c13b8ee7f4a46.jpg,AngelFish,0.0254425048828125,normal
AngelFish_image_312_jpg.rf.f52889279f301a80cf663c7168217fa2.jpg,AngelFish,0.16315917968750002,normal
AngelFish_image_383_jpg.rf.d8d9adfe00317581c2aaa5607c2fe1b9.jpg,AngelFish,0.08759765625,normal
AngelFish_image_383_jpg.rf.d8d9adfe00317581c2aaa5607c2fe1b9.jpg,AngelFish,0.09890258789062499,normal
AngelFish_image_96_jpg.rf.226d5dbbda3687e73b58c3813e659d9c.jpg,AngelFish,0.5437243652343751,normal
ClownFish_image_111_jpg.rf.fe300a304b9f3d55e8122d1edbac39cb.jpg,ClownFish,0.2942431640625,normal
ClownFish_image_16_jpg.rf.91c3882da1eeb4490a477042216d71b1.jpg,ClownFish,0.010009765625,normal
ClownFish_image_254_jpg.rf.24390cb4133ac5e507d720e586805180.jpg,ClownFish,0.017709960937499998,normal
IMG_2948_JPG_jpg.rf.f420a0b9cb97bf2c28297b82c3c4d2aa.jpg,YellowCichlid,0.014853515624999999,normal
IMG_2948_JPG_jpg.rf.f420a0b9cb97bf2c28297b82c3c4d2aa.jpg,YellowCichlid,0.021020507812500002,normal
IMG_2948_JPG_jpg.rf.f420a0b9cb97bf2c28297b82c3c4d2aa.jpg,YellowCichlid,0.0359912109375,normal
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.00458984375,small
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.00166015625,small
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.00078857421875,small
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.00333984375,small
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.0008544921875,small
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.00146484375,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0017138671875,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0006591796875,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.00424560546875,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0037060546874999995,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.00219482421875,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0025000000000000005,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0022412109375,small
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.0007470703125,small
ParacanthHepatMarkRosenstein_jpg.rf.71e47439909e29ae323a7c159aeb017f.jpg,BlueTang,0.07041015625000001,normal
ParacanthurusHepatus-254-_jpg.rf.be8f8534fdaf6566310e037d58fec6c1.jpg,YellowTang,0.064013671875,normal
ParacanthurusHepatus-255-_jpg.rf.e83eccd217fa3f49ef87d8bf8c9e2b62.jpg,YellowTang,0.3033935546875,normal
Zebrafish-Not-Green-363-_png_jpg.rf.5d0c3bce209ee9880380ae19c52434aa.jpg,ZebraFish,0.0546875,normal
ZebrasomaFlavescens-272-_jpg.rf.111ab934d95f7a15e1758e54b9d54945.jpg,YellowTang,0.008203125,small
ZebrasomaFlavescens-272-_jpg.rf.111ab934d95f7a15e1758e54b9d54945.jpg,YellowTang,0.00796875,small
ZebrasomaFlavescens-272-_jpg.rf.111ab934d95f7a15e1758e54b9d54945.jpg,YellowTang,0.014531250000000002,normal
ZebrasomaFlavescens-272-_jpg.rf.111ab934d95f7a15e1758e54b9d54945.jpg,YellowTang,0.012744140624999999,normal
