Image,Predicted_Class,Confidence
10_jpeg.rf.94951c0379fe621911e4e48a35dc44e1.jpg,ThreeStripedDamselfish,0.9376795887947083
13_jpeg.rf.e9aefe712874f442cb303ffecee5025e.jpg,ThreeStripedDamselfish,0.896491289138794
27810124356_df827be192_b_jpg.rf.f00300dea06207e8a40f4bc3de9dd277.jpg,ClownFish,0.6585440635681152
3-striped-damselfish-in-the-marine-aquarium_mp4-2_jpg.rf.9a0c6d65e8a78d13c3d7f77772e74ce9.jpg,ThreeStripedDamselfish,0.8642206788063049
41_jpeg.rf.d39a0eba7f9929a4e81a89463c537fe8.jpg,ThreeStripedDamselfish,0.891239583492279
AmphiprionPercula-366-_jpg.rf.6f26b9e2be77a1f59e4d3cfb75bc0d86.jpg,ButterflyFish,0.6356804370880127
AngelFish_image_123_jpg.rf.1df4a1d0562e2cc2c966e2624a9145a6.jpg,AngelFish,0.5660487413406372
AngelFish_image_178_jpg.rf.ad5027b6b6e8d8d57354b4b2c60ccc77.jpg,AngelFish,0.2764796018600464
AngelFish_image_179_jpg.rf.f3f2fa730bc0b03f54a9b3969d476a54.jpg,AngelFish,0.7889773845672607
AngelFish_image_179_jpg.rf.f3f2fa730bc0b03f54a9b3969d476a54.jpg,AngelFish,0.3921397626399994
AngelFish_image_24_jpg.rf.4d626de198ca2da0fd6c2f89288f0364.jpg,AngelFish,0.3727608323097229
AngelFish_image_257_jpg.rf.d73509d76ee9ff4975e9c44260c4409c.jpg,ButterflyFish,0.7234139442443848
AngelFish_image_271_jpg.rf.27d52769a66d199941bfa7652eeecce5.jpg,YellowCichlid,0.38821500539779663
AngelFish_image_281_jpg.rf.c6400c999d2dfdf8f2918249def05f90.jpg,AngelFish,0.5407424569129944
AngelFish_image_288_jpg.rf.36302cbb6bc63354d1f715b989559782.jpg,MorishIdol,0.3146210312843323
AngelFish_image_307_jpg.rf.f0aef262a91c755d63c114691b59810a.jpg,AngelFish,0.660040020942688
AngelFish_image_307_jpg.rf.f0aef262a91c755d63c114691b59810a.jpg,AngelFish,0.3921397626399994
AngelFish_image_317_jpg.rf.62f25e2e461926fbc08092b5840dcc47.jpg,AngelFish,0.7627705931663513
AngelFish_image_31_jpg.rf.414e4cf08c7e8c58dd328ac183f03a89.jpg,ButterflyFish,0.8592000603675842
AngelFish_image_31_jpg.rf.414e4cf08c7e8c58dd328ac183f03a89.jpg,YellowCichlid,0.2970220148563385
AngelFish_image_321_jpg.rf.db2bb200d97988147f1c025fb070031c.jpg,AngelFish,0.2764796018600464
AngelFish_image_383_jpg.rf.d8d9adfe00317581c2aaa5607c2fe1b9.jpg,MorishIdol,0.27045565843582153
AngelFish_image_385_jpg.rf.0f5dff59f96c148f9eca435fc57ac24f.jpg,AngelFish,0.6753734350204468
AngelFish_image_40_jpg.rf.a69d807ccc1d584bca270a836d1c81e6.jpg,AngelFish,0.6777833104133606
AngelFish_image_55_jpg.rf.3f99b3e1d51f6c5551248fa027751c85.jpg,AngelFish,0.33251506090164185
AngelFish_image_96_jpg.rf.226d5dbbda3687e73b58c3813e659d9c.jpg,AngelFish,0.3727608323097229
ClownFish_image_111_jpg.rf.fe300a304b9f3d55e8122d1edbac39cb.jpg,ClownFish,0.7174603939056396
ClownFish_image_16_jpg.rf.91c3882da1eeb4490a477042216d71b1.jpg,ClownFish,0.3956974148750305
ClownFish_image_223_jpg.rf.c6a4b0e359eb30dc953554a60f77ed20.jpg,ClownFish,0.6274405121803284
ClownFish_image_65_jpg.rf.bfe84b7c5156fc9073aa0e112134ed55.jpg,ClownFish,0.5427701473236084
Dwarf-Gourami_original_136-png_fbff0dd2-a16b-433c-85a5-8a837addbe0a_png_jpg.rf.d8a4a1f0f10db1599bc3f9aaea69e14c.jpg,Gourami,0.27927809953689575
Dwarf-Gourami_original_136-png_fbff0dd2-a16b-433c-85a5-8a837addbe0a_png_jpg.rf.f062a47c5ce6ec464597d0160ccb8c6e.jpg,Gourami,0.3548448085784912
Dwarf-Gourami_original_243-png_6e8d831b-6bb8-4b42-9610-cad41a8625d4_png_jpg.rf.a88f3d852cc363c73b269c7e600a8b6a.jpg,Gourami,0.9266695976257324
Dwarf-Gourami_original_243-png_6e8d831b-6bb8-4b42-9610-cad41a8625d4_png_jpg.rf.a88f3d852cc363c73b269c7e600a8b6a.jpg,Gourami,0.9193490743637085
IMG_2957_JPG_jpg.rf.236c31752ae6079b32509371fcdd2760.jpg,YellowTang,0.5305172801017761
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.7189229130744934
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.6210649609565735
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.5254418253898621
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.5190865993499756
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.5071287155151367
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.4283202588558197
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.4253557622432709
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.27277836203575134
IMG_3120_jpg.rf.e33238bd987037cd59f664e5f1d2599e.jpg,YellowCichlid,0.25721973180770874
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.6034374237060547
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.6022672057151794
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.47987574338912964
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.464309960603714
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.41562387347221375
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.3926444947719574
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.36147260665893555
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.3452785909175873
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.3233208656311035
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.3191348612308502
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.30469974875450134
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.271857351064682
IMG_3127_jpg.rf.44cd058c00c2cb18967ec2e85d1dfacb.jpg,YellowCichlid,0.26966768503189087
