Image,Total_Fish,AngelFish,BlueTang,ButterflyFish,ClownFish,GoldFish,Gourami,MorishIdol,PlatyFish,RibbonedSweetlips,ThreeStripedDamselfish,YellowCichlid,YellowTang,ZebraFish
10_jpeg.rf.94951c0379fe621911e4e48a35dc44e1.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13_jpeg.rf.e9aefe712874f442cb303ffecee5025e.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27810124356_df827be192_b_jpg.rf.f00300dea06207e8a40f4bc3de9dd277.jpg,4,0,0,0,4,0,0,0,0,0,0,0,0,0
3-stripe-damsel_jpeg.rf.0dbc05009e67e92d465df6537438cc8c.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3-striped-damselfish-in-the-marine-aquarium_mp4-2_jpg.rf.9a0c6d65e8a78d13c3d7f77772e74ce9.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3-striped-damselfish_jpeg.rf.b98f0fb4295dfa60feb74b4062b65458.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41_jpeg.rf.d39a0eba7f9929a4e81a89463c537fe8.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9becb8b1699ad10ea12b30afe9275791_jpg.rf.05b9a7da4472947843b4d3a702490380.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-121-_jpg.rf.db393c029288707d38b91c64f54f5b76.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-218-_jpg.rf.1da6d7faab76e42c4cd21b5f2b0e7c80.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-351-_jpg.rf.75e5cd84e8dcc15add1ddbfd4ac73d3f.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-366-_jpg.rf.6f26b9e2be77a1f59e4d3cfb75bc0d86.jpg,4,0,0,1,3,0,0,0,0,0,0,0,0,0
AmphiprionPercula-391-_jpg.rf.ed4f56e2f2cab0bcf06726890b79849e.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-467-_jpg.rf.7c3fe7748533f72e5ae76cf4860bad66.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AmphiprionPercula-553-_jpg.rf.d93d48648c20807a1783f272c7f40427.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Amphiprion_percula_jpeg_jpg.rf.a905a41dc435727a27f36b1ce0adb5bf.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AngelFish_image_100_jpg.rf.230725c2c1461c888cf919b86b1629ed.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_102_jpg.rf.0ea01520ebac96b0e4bf439984c43e8d.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_105_jpg.rf.b0e8ca38fa0eb4634a0639ed7f53afb2.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_108_jpg.rf.8f23142f9562d1117d065988cc96d28a.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_118_jpg.rf.0822f9ab76c3c9fe3a3ea169af07c557.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_122_jpg.rf.0af357063d526cdc3702f32791b9d76d.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_123_jpg.rf.1df4a1d0562e2cc2c966e2624a9145a6.jpg,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_125_jpg.rf.b14e32df9e1ec42db8701793eaca489a.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_128_jpg.rf.8ca6fd04dd1b82de5d9fd49423c21ea4.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_129_jpg.rf.d755038cb80d2a9faee0e629d52e34c8.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_12_jpg.rf.2890871d4666df04bfd6dfcd6ca77ce7.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_135_jpg.rf.998ed6f26ddb1b05802f9c0467502cf9.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_138_jpg.rf.e5eef90df0890c9830413977876ab953.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_139_jpg.rf.d6539094e48ed69185462df8db337473.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_13_jpg.rf.ca64f0168ac171c893555712df9b2c37.jpg,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_141_jpg.rf.d6a6113e0917ea96ccfbb28bc0acb43c.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_142_jpg.rf.c01416a0a7b2827a9705a3d31d7c97c8.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_144_jpg.rf.140a0ccf29af2e5b2ea387e6a72c9da2.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_145_jpg.rf.41aab2a1cecfc5f0ea17630f9558837c.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_147_jpg.rf.8eb70fc7d98b312b367481dffcaa9126.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_148_jpg.rf.39a01676c354d112a0a796ed81b6efac.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_149_jpg.rf.77b43c6ccbfa6a5e5d02a3a24072da6d.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_151_jpg.rf.6d5ca0a07fa4950e3f9981d731bd1520.jpg,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AngelFish_image_152_jpg.rf.d6b6db253e78679c57632949fc93a080.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0
